Animal,Breed,Age,Gender,Health Condition,Size,Color,Location,Training,Popularity,Price
Hamster,Dwarf,4,Female,Healthy,Large,Grey,India,Basic Training,High,175.0
Rabbit,Holland Lop,2,Female,Vaccinated,Medium,Spotted,Australia,Basic Training,High,160.0
Bird,Macaw,6,Male,Healthy,Medium,White,Germany,Untrained,Medium,150.0
Rabbit,Angora,3,Male,Special Needs,Large,Golden,USA,Untrained,Low,42.5
Dog,Labrador,14,Female,Vaccinated,Medium,Spotted,Australia,Well Trained,Low,377.0
Hamster,Campbell's,2,Male,Healthy,Medium,Golden,UK,Basic Training,Medium,95.0
Cat,Bengal,10,Female,Special Needs,Small,Black,India,Basic Training,Low,75.0
Cat,Maine Coon,8,Female,Healthy,Medium,Spotted,USA,Highly Trained,Medium,273.0
Hamster,Roborovski,12,Female,Special Needs,Small,Spotted,USA,Well Trained,Medium,81.25
Dog,Beagle,1,Female,Healthy,Large,Black,USA,Highly Trained,High,448.5
Rabbit,Holland Lop,9,Female,Vaccinated,Small,Golden,Australia,Highly Trained,Low,97.5
Cat,Sphynx,11,Female,Sick,Small,White,UK,Well Trained,Medium,186.55
Hamster,Syrian,15,Female,Healthy,Medium,Grey,India,Well Trained,Low,143.0
Hamster,Dwarf,3,Male,Sick,Medium,Brown,France,Basic Training,Low,35.0
Hamster,Dwarf,14,Male,Special Needs,Large,Grey,India,Highly Trained,Medium,113.75
Rabbit,Angora,4,Female,Sick,Medium,White,France,Highly Trained,Medium,109.2
Cat,Sphynx,6,Female,Vaccinated,Small,Spotted,Canada,Highly Trained,Medium,234.0
Hamster,Roborovski,9,Female,Special Needs,Small,White,France,Highly Trained,Medium,71.5
Rabbit,Netherland Dwarf,12,Male,Special Needs,Small,Golden,France,Well Trained,Medium,91.0
Dog,Golden Retriever,7,Male,Vaccinated,Large,Spotted,Canada,Well Trained,Low,357.5
Cat,Maine Coon,7,Female,Vaccinated,Small,Black,Germany,Basic Training,Low,135.0
Cat,Siamese,9,Female,Special Needs,Large,Golden,France,Basic Training,Low,92.5
Rabbit,Holland Lop,8,Male,Vaccinated,Medium,Black,France,Well Trained,High,247.0
Hamster,Campbell's,4,Female,Sick,Small,White,India,Well Trained,High,122.85
Dog,Bulldog,9,Male,Sick,Small,Brown,France,Highly Trained,Medium,268.45
Hamster,Syrian,8,Female,Sick,Large,Mixed,UK,Highly Trained,Low,86.45
Bird,Cockatiel,13,Female,Healthy,Large,Black,Australia,Highly Trained,Medium,266.5
Hamster,Syrian,7,Male,Special Needs,Small,Grey,France,Basic Training,Low,25.0
Dog,Labrador,2,Male,Sick,Large,Golden,USA,Highly Trained,Low,227.5
Dog,Bulldog,2,Male,Healthy,Medium,Brown,Canada,Well Trained,Medium,364.0
Cat,Persian,2,Female,Sick,Small,Brown,USA,Untrained,High,147.0
Hamster,Roborovski,7,Female,Vaccinated,Small,Golden,Canada,Basic Training,High,150.0
Dog,Beagle,6,Male,Special Needs,Medium,Grey,USA,Untrained,High,175.0
Hamster,Campbell's,10,Female,Sick,Large,Spotted,USA,Basic Training,Low,73.5
Hamster,Roborovski,10,Male,Special Needs,Medium,Brown,USA,Highly Trained,Medium,87.75
Hamster,Dwarf,3,Female,Healthy,Medium,Mixed,UK,Highly Trained,Medium,130.0
Cat,Persian,10,Female,Vaccinated,Large,Spotted,France,Basic Training,Medium,240.0
Dog,Golden Retriever,8,Male,Special Needs,Small,Brown,India,Basic Training,High,170.0
Cat,Maine Coon,15,Male,Sick,Medium,Golden,Australia,Basic Training,High,206.5
Cat,Sphynx,14,Female,Healthy,Small,Brown,Germany,Untrained,Low,170.0
Cat,Maine Coon,8,Female,Healthy,Large,Mixed,Canada,Highly Trained,Low,234.0
Rabbit,Mini Rex,5,Female,Healthy,Large,Black,Canada,Basic Training,High,195.0
